brand,moisture,coins
royale,low,16
royale,low,13
royale,low,15
royale,low,13
royale,low,15
royale,some,13
royale,some,14
royale,some,11
royale,some,13
royale,some,14
royale,high,3
royale,high,13
royale,high,16
royale,high,3
royale,high,8
charmin,low,15
charmin,low,16
charmin,low,14
charmin,low,16
charmin,low,12
charmin,some,16
charmin,some,19
charmin,some,11
charmin,some,9
charmin,some,14
charmin,high,10
charmin,high,8
charmin,high,6
charmin,high,8
charmin,high,7
cashmere,low,23
cashmere,low,24
cashmere,low,7
cashmere,low,20
cashmere,low,16
cashmere,some,7
cashmere,some,11
cashmere,some,6
cashmere,some,8
cashmere,some,12
cashmere,high,12
cashmere,high,8
cashmere,high,9
cashmere,high,3
cashmere,high,2
kirkland,low,20
kirkland,low,21
kirkland,low,14
kirkland,low,23
kirkland,low,23
kirkland,some,19
kirkland,some,18
kirkland,some,23
kirkland,some,13
kirkland,some,23
kirkland,high,19
kirkland,high,19
kirkland,high,16
kirkland,high,5
kirkland,high,9
cottonelle,low,14
cottonelle,low,15
cottonelle,low,10
cottonelle,low,11
cottonelle,low,12
cottonelle,some,5
cottonelle,some,13
cottonelle,some,7
cottonelle,some,10
cottonelle,some,10
cottonelle,high,4
cottonelle,high,4
cottonelle,high,3
cottonelle,high,4
cottonelle,high,10
